--------------------------------------------------
START LOGG - 12/06/16 : 14:58:18
Software version = [LT_Interface 1.0.1]
Target version = [--]
Sample rate:  20 samples / sec
--------------------------------------------------
gTsCnt	g_error	g_pwm_mode	fgtFLAG	fgTc	fgF1Tc	fgF2Tc	fgTa1	fgTa2	fgTa3	fgTa4	fgTrExt	fgTr	frTa	frTe	frTp	frTi	frTd	frTLPr	g_vin	g_curr
00059293	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059294	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059295	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059296	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059297	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059298	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059299	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059300	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059301	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059302	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059303	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059304	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059305	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059306	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059307	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059308	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059309	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059310	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059311	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059312	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059313	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059314	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059315	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059316	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059317	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059318	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059319	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059320	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059321	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059322	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059323	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059324	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059325	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059326	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059327	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059328	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059329	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059330	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059331	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059332	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059333	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059334	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059335	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059336	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059337	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059338	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059339	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059340	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059341	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059342	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059343	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059344	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059345	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059346	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059347	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059348	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059349	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059350	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059351	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059352	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059353	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059354	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059355	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059356	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059357	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059358	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059359	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059360	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059361	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059362	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059363	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059364	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059365	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059366	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059367	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059368	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059369	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059370	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059371	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
00059372	AC001	00	00	0.0	0.0	0.0	-999.900	-999.900	-999.900	26.140	0.000	20.000	-999.9000	36.6650	733.3000	0.0000	3666.5000	20.0000	20.102	0.000
